SITE,TRANSECT,HAB_TYPE,ANNOTATOR,QUAD_N,METER_MARK,T_Q,CORAL_CODE,BITE_CATEG,CONDITION,NUMBER_BIT,OVERLAP_SC,METHOD,DEPTH,AVG_OVERLAP,CCAH,CCAR,LESP,LSCU,MACR,MCAP,MOBF,MPAT,PCOM,PDAM,PDUE,PGRA,PMAS,PMEA,PVAR,SED_SAND,SP,TUN,TURFH,TURFR,UI,UNKN,Weight,ZO,Hard coral,Other,Weights&unkown,
HAL,HAL1,PAV,DED,1,1,HAL1_Q1,PMAS,SCSP,OLD,1,1,ARC,42.0,1.00,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0286,0.0000,0.0571,0.0286,0.0286,0.9143,0.0571,
HAL,HAL1,PAV,DED,2,4,HAL1_Q2,PMAS,SCSP,HEAL,1,1,ARC,42.0,1.00,0.0857,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0857,0.9143,0.0000,
HAL,HAL1,PAV,DED,3,7,HAL1_Q3,PMAS,SCRAP,OLD,1,1,ARC,42.0,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.8857,0.0571,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
HAL,HAL1,PAV,DED,3,7,HAL1_Q3,PMAS,SCSP,HEAL,2,1,ARC,42.0,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.8857,0.0571,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
HAL,HAL1,PAV,DED,4,10,HAL1_Q4,PMAS,SCSP,HEAL,1,1,ARC,42.0,1.00,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,
HAL,HAL1,PAV,DED,4,10,HAL1_Q4,PMAS,SCSP,OLD,3,1,ARC,42.0,1.00,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,
HAL,HAL1,PAV,DED,5,13,HAL1_Q5,PMAS,SCRAP,OLD,1,1,ARC,42.0,1.00,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.7714,0.0857,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
HAL,HAL1,PAV,DED,5,13,HAL1_Q5,PMAS,SCSP,HEAL,4,1,ARC,42.0,1.00,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.7714,0.0857,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
HAL,HAL1,PAV,DED,6,16,HAL1_Q6,PMAS,SCSP,OLD,1,1,ARC,42.0,1.00,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0286,0.0000,0.0000,0.0857,0.8857,0.0286,
HAL,HAL1,PAV,DED,7,19,HAL1_Q7,PMAS,EXCAV,OLD,1,1,ARC,42.0,1.00,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1143,0.0000,0.0000,0.0000,0.0000,0.0000,0.7143,0.1429,0.0000,0.0000,0.0000,0.0000,0.1143,0.8857,0.0000,
HAL,HAL2,PAV,RML,1,1,HAL2_Q1,PMAS,EXCAV,OLD,1,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.1143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8286,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.9429,0.0571,
HAL,HAL2,PAV,RML,2,4,HAL2_Q2,NONE,NONE,NONE,0,0,ARC,45.7,0.00,0.0000,0.0000,0.0000,0.0000,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,
HAL,HAL2,PAV,RML,3,7,HAL2_Q3,PMEA,SCRAP,HEAL,2,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.8857,0.0286,0.0000,0.0000,0.0000,0.0000,0.0286,0.9714,0.0000,
HAL,HAL2,PAV,RML,3,7,HAL2_Q3,PMEA,SCRAP,NEW,4,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.8857,0.0286,0.0000,0.0000,0.0000,0.0000,0.0286,0.9714,0.0000,
HAL,HAL2,PAV,RML,3,7,HAL2_Q3,PMEA,SCRAP,OLD,1,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.8857,0.0286,0.0000,0.0000,0.0000,0.0000,0.0286,0.9714,0.0000,
HAL,HAL2,PAV,RML,4,10,HAL2_Q4,PCOM,EXCAV,HEAL,4,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.0857,0.0286,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
HAL,HAL2,PAV,RML,4,10,HAL2_Q4,PCOM,EXCAV,NEW,3,1,ARC,45.7,1.00,0.0000,0.0000,0.0000,0.0000,0.0857,0.0286,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.9429,0.0000,
